type,district,Place ,Address,city,state,Service,Age,NeedstoRegister,Incomebased,opendate,hours,Phone,latitude,longitude
school,Mesa SD,Redbird Elementary School,"1020 South Extension Road, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.3962737,-111.84889
school,Mesa SD,Robson Elementary School,"2122 East Pueblo Avenue, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4010496,-111.78503
school,Mesa SD,Roosevelt Elementary School,"828 South Valencia, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4019259,-111.71738
school,Mesa SD,Salk Elementary School,"7029 East Brown Road, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4367361,-111.67941
school,Mesa SD,Sirrine Elementary School,"591 West Mesquite Street, Chandler",Chandler,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.3420896,-111.84934
school,Mesa SD,Sousa Elementary School,"616 North Mountain Road, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4272686,-111.59045
school,Mesa SD,Stevenson Elementary School,"638 South 96th Street, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4031366,-111.62527
school,Mesa SD,Summit Academy,"1560 West Summit Place, Chandler",Chandler,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.3552813,-111.87024
school,Mesa SD,Taft Elementary School,"9800 East Quarterline Road, Mesa",Mesa,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4270746,-111.61964
school,Mesa SD,Washington Elementary School,"2260 West Isabella Avenue, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.3837665,-111.88006
school,Mesa SD,Webster Elementary School,"202 North Sycamore, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4019259,-111.71738
school,Mesa SD,Whitman Elementary School,"1829 North Grand, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4019259,-111.71738
school,Mesa SD,Whittier Elementary School,"733 North Longmore Avenue, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4286164,-111.86503
school,Mesa SD,Wilson Elementary School,"5619 East Glade Avenue, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.3915363,-111.71041
school,Mesa SD,Zaharis Elementary,"9410 East McKellips Road, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.451607,-111.62682
school,Gilbert PS,Harris Elementary,"1820 S Harris Dr, Gilbert",Gilbert,AZ,Breakfast/Lunch,1to 18yrs old ,No,No,M-F,AM/PM,,33.3102088,-111.74219
school,Gilbert PS,Mesquite Junior High,"130 W Mesquite St, Gilbert",Gilbert,AZ,Breakfast/Lunch,1to 18yrs old ,No,No,M-F,AM/PM,,33.3454453,-111.79461
school,Gilbert PS,Highland Junior High,"6915 E Guadalupe Rd, Gilbert",Gilbert,AZ,Breakfast/Lunch,1to 18yrs old ,No,No,M-F,AM/PM,,33.3102088,-111.74219
school,Gilbert PS,Meridian Elementary,"3900 S Mountain Rd, Gilbert",Gilbert,AZ,Breakfast/Lunch,1to 18yrs old ,No,No,M-F,AM/PM,,33.3102088,-111.74219
school,Gilbert PS,Greenfield Junior High,"101 S Greenfield Rd, Gilbert",Gilbert,AZ,Breakfast/Lunch,1to 18yrs old ,No,No,M-F,AM/PM,,33.3489503,-111.736
school,Gilbert PS,South Valley Junior,"2034 S Lindsay Rd, Gilbert",Gilbert,AZ,Breakfast/Lunch,1to 18yrs old ,No,No,M-F,AM/PM,,33.3126904,-111.77601
school,MEsa,Streets of Joy,451 E 4th Pl,Mesa,AZ,Meals,1to 18yrs old ,No,No,M-F,Afternoons,,33.4237351,-111.82134
school,Madison,Madison Camelview,"2002 E Campbell Ave, Phoenix",Phoenix,AZ,Breakfast/Lunch,1to 18yrs old ,No,No,M-F,7:30-12,,33.5721625,-112.08797
school,Roosevelt,Bernard Black,"6550 S 27th Ave., Phoenix",Phoenix,AZ,Breakfast/Lunch,1to 18yrs old ,No,No,M-F,11-12,,33.5721625,-112.08797
school,Roosevelt,CJ Jorgensen,"1701 W Roeser Rd, Phoenix",Phoenix,AZ,Breakfast/Lunch,1to 18yrs old ,No,No,M-F,11-12,,33.3980786,-112.09564
school,Roosevelt,CO Greenfield,"7009 S 10th St., Phoenix",Phoenix,AZ,Breakfast/Lunch,1to 18yrs old ,No,No,M-F,11-12,,33.5721625,-112.08797
school,Roosevelt,Chavez Leadership,"4001 S 3rd St., Phoenix",Phoenix,AZ,Breakfast/Lunch,1to 18yrs old ,No,No,M-F,11-12,,33.410923,-112.06818
school,Roosevelt,Cloves C. Cambell,"2624 E South Mountain  Ave., Phoenix",Phoenix,AZ,Breakfast/Lunch,1to 18yrs old ,No,No,M-F,11-12,,33.3717987,-112.02595
school,Roosevelt,Pastor,"2101 W Alta Vista Rd., Phoenix",Phoenix,AZ,Breakfast/Lunch,1to 18yrs old ,No,No,M-F,11-12,,33.3872987,-112.10436
school,Roosevelt,Conchos,"1718 W Vineyard Rd., Phoenix",Phoenix,AZ,Breakfast/Lunch,1to 18yrs old ,No,No,M-F,11-12,,33.3860108,-112.09604
school,Roosevelt,Lopez,"4610 S 12th St., Phoenix",Phoenix,AZ,Breakfast/Lunch,1to 18yrs old ,No,No,M-F,11-12,,33.5721625,-112.08797
school,Roosevelt,Davis,"6209 S 15th Ave., Phoenix",Phoenix,AZ,Breakfast/Lunch,1to 18yrs old ,No,No,M-F,11-12,,33.3897508,-112.0891
school,Roosevelt,Bush,"602 E Siesta Dr., Phoenix",Phoenix,AZ,Breakfast/Lunch,1to 18yrs old ,No,No,M-F,11-12,,33.3658759,-112.06774
school,Roosevelt,Julian,"2149 East Carver Dr, Phoenix",Phoenix,AZ,Breakfast/Lunch,1to 18yrs old ,No,No,M-F,11-12,,33.4027071,-112.03504
school,Roosevelt,Southwest,"1111 W Dobbins Rd., Phoenix",Phoenix,AZ,Breakfast/Lunch,1to 18yrs old ,No,No,M-F,11-12,,33.3622259,-112.0884
school,Roosevelt,Sunland,"5401 S 7th Ave., Phoenix",Phoenix,AZ,Breakfast/Lunch,1to 18yrs old ,No,No,M-F,11-12,,33.5721625,-112.08797
school,Roosevelt,T.G. Barr,"2041 E Vineyard Rd , Phoenix",Phoenix,AZ,Breakfast/Lunch,1to 18yrs old ,No,No,M-F,11-12,,33.3854613,-112.03653
school,Roosevelt,V.H. Lassen,"909 W Vineyard Rd., Phoenix",Phoenix,AZ,Breakfast/Lunch,1to 18yrs old ,No,No,M-F,11-12,,33.3840136,-112.0852
school,Roosevelt,Valley View Leadership Academy,"8220 S 7th Ave., Phoenix",Phoenix,AZ,Breakfast/Lunch,1to 18yrs old ,No,No,M-F,11-12,,33.3713736,-112.08438
school,Tolleson SD,San Lucas Apartments,"8701 W Van Buren St, Tolleson",Tolleson,AZ,Meals,1to 18yrs old ,No,No,M-F,11-1,,33.4497759,-112.24811
school,Tolleson SD,Sundancer Apartments,"400 N 96th Ave, Tolleson",Tolleson,AZ,Meals,1to 18yrs old ,No,No,M-F,11-1,,33.4518449,-112.26649
school,Tolleson SD,Tolleson Garden Apartments,"900 N 95th Ave #120, Tolleson",Tolleson,AZ,Meals,1to 18yrs old ,No,No,M-F,11-1,,33.4563045,-112.26428
school,Tolleson SD,Red Hawk Apartments,"9330 W McDowell Rd, Phoenix",Phoenix,AZ,Meals,1to 18yrs old ,No,No,M-F,11-1,,33.5721625,-112.08797
school,Tolleson SD,Del Mar Apartments,"8550 W McDowell Rd, Phoenix",Phoenix,AZ,Meals,1to 18yrs old ,No,No,M-F,11-1,,33.4664561,-111.89834
school,Tolleson SD,Arizona Desert Elementary,"8803 W Van Buren St, Tolleson",Tolleson,AZ,Meals,1to 18yrs old ,No,No,M-F,11-1,,33.4495748,-112.2515
school,Tolleson SD,Desert Oasis Elementary,"17161 W Bajada Rd, Surprise",Tolleson,AZ,Meals,1to 18yrs old ,No,No,M-F,11-1,,33.4482836,-112.25579
school,Tolleson SD,Gonzales Elementary,"9401 W Garfield St, Tolleson",Tolleson,AZ,Meals,1to 18yrs old ,No,No,M-F,11-1,,33.4559976,-112.26177
school,Tolleson SD,Sheely Farms,"9450 W Encanto Blvd, Phoenix",Phoenix,AZ,Meals,1to 18yrs old ,No,No,M-F,11-1,,33.4737312,-112.26357
school,Chandler Unified,Chandler High,"350 N Arizona Ave, Chandler",Chandler,AZ,Meals,1to 18yrs old ,No,No,M-F,9:30-12:30,,33.3089071,-111.84284
school,Chandler Unified,Hamilton High,"3700 S Arizona Ave, Chandler",Chandler,AZ,Meals,1to 18yrs old ,No,No,M-F,9:30-12:30,,33.2828736,-111.85494
school,Balsz,Tillman Middle School,"4309 E Belleview St., Phoenix",Phoenix,AZ,Breakfast,1to 18yrs old ,No,No,M-F,7-8,,33.4611215,-111.98961
school,Laveen SD,Laveen Elementary,"4141 W McNeil St, Laveen Village",Laveen,AZ,Meals,1to 18yrs old ,No,No,M-F,7:30-9:30 & 11-1,,33.356619,-112.1500149
school,Laveen SD,Cash Elementary,"3851 W Roeser Rd, Phoenix",Phoenix,AZ,Meals,1to 18yrs old ,No,No,M-F,7:30-9:30 & 11-1,,33.3994009,-112.14059
school,Laveen SD,Chetham Elementary,"4725 W South Mountain Ave, Laveen Village",Laveen,AZ,Meals,1to 18yrs old ,No,No,M-F,7:30-9:30 & 11-1,,33.3688981,-112.159669
school,Laveen SD,Trailside Point,"7275 W Vineyard Rd, Laveen Village",Laveen,AZ,Meals,1to 18yrs old ,No,No,M-F,7:30-9:30 & 11-1,,33.5721625,-112.0879662
school,Laveen SD,Desert Meadows,"6855 W Meadows Loop E, Laveen Village",Laveen,AZ,Meals,1to 18yrs old ,No,No,M-F,7:30-9:30 & 11-1,,33.38549617,-112.1604282
school,Laveen SD,Rogers Ranch,"6735 S 47th Ave, Laveen Village",Laveen,AZ,Meals,1to 18yrs old ,No,No,M-F,7:30-9:30 & 11-1,,33.36522154,33.36522154
school,Laveen SD,Paseo Pointe,"8800 S. 55th Ave. Laveen,",Laveen,AZ,Meals,1to 18yrs old ,No,No,M-F,7:30-9:30 & 11-1,,33.366643,-112.17858
school,Peoria USD,Canyon Elementary,"5490 W Paradise Ln, Glendale",Peoria,AZ,Meals,1to 18yrs old ,No,No,M-F,10:30-12,,33.7824037,-112.29768
school,Peoria USD,Centennial High,"14388 N 79th Ave, Peoria",Peoria,AZ,Meals,1to 18yrs old ,No,No,M-F,10:30-12,,33.7824037,-112.29768
school,Peoria USD,Cheyenne Elementary,"11806 N 87th Ave, Peoria",Peoria,AZ,Meals,1to 18yrs old ,No,No,M-F,10:30-12,,33.7824037,-112.29768
school,Peoria USD,Copperwood Elementary,"11232 N 65th Ave, Glendale",Peoria,AZ,Meals,1to 18yrs old ,No,No,M-F,10:30-12,,33.7824037,-112.29768
school,Peoria USD,Cotton Boll Elementary,"8540 W Butler Dr, Peoria",Peoria,AZ,Meals,1to 18yrs old ,No,No,M-F,10:30-12,,33.7824037,-112.29768
school,Peoria USD,Country Meadows Elementary,"8409 N 111th Ave, Peoria",Peoria,AZ,Meals,1to 18yrs old ,No,No,M-F,10:30-12,,33.7824037,-112.29768
school,Peoria USD,District Center,"6330 W Thunderbird Rd, Glendale",Peoria,AZ,Meals,1to 18yrs old ,No,No,M-F,10:30-12,,33.7824037,-112.29768
school,Peoria USD,Desert Harbor,"15585 N 91st Ave, Peoria",Peoria,AZ,Meals,1to 18yrs old ,No,No,M-F,10:30-12,,33.6253842,-112.25249
school,Peoria USD,Desert Palms,"11441 N 55th Ave, Glendale",Peoria,AZ,Meals,1to 18yrs old ,No,No,M-F,10:30-12,,33.7824037,-112.29768
school,Peoria USD,Desert Valley,"12901 N 63rd Ave, Glendale",Peoria,AZ,Meals,1to 18yrs old ,No,No,M-F,10:30-12,,33.7824037,-112.29768
school,Peoria USD,Foothills,"15808 N 63rd Ave, Glendale",Peoria,AZ,Meals,1to 18yrs old ,No,No,M-F,10:30-12,,33.7824037,-112.29768
school,Peoria USD,Heritage,"5312 W Mountain View Rd, Glendale",Peoria,AZ,Meals,1to 18yrs old ,No,No,M-F,10:30-12,,33.7824037,-112.29768
school,Peoria USD,Murphy,"7231 W North Ln, Peoria",Peoria,AZ,Meals,1to 18yrs old ,No,No,M-F,10:30-12,,33.5796944,-112.21443
school,Peoria USD,Kachina,"5304 W Crocus Dr, Glendale",Peoria,AZ,Meals,1to 18yrs old ,No,No,M-F,10:30-12,,33.7824037,-112.29768
school,Peoria USD,Marshall Ranch Elementary,"12995 N Marshall Ranch Dr, Glendale",Peoria,AZ,Meals,1to 18yrs old ,No,No,M-F,10:30-12,,33.7824037,-112.29768
school,Peoria USD,Oasis Elementary,"7841 W Sweetwater Ave, Peoria",Peoria,AZ,Meals,1to 18yrs old ,No,No,M-F,10:30-12,,33.6014982,-112.22669
school,Peoria USD,Peoria Elementary,"11501 N 79th Ave, Peoria",Peoria,AZ,Meals,1to 18yrs old ,No,No,M-F,10:30-12,,33.5893676,-112.22982
school,Peoria USD,Peoria High School,"11200 N 83rd Ave, Peoria",Peoria,AZ,Meals,1to 18yrs old ,No,No,M-F,10:30-12,,33.5872916,-112.23892
school,Peoria USD,Pioneer Elementary,"6315 W Port au Prince Ln, Glendale",Peoria,AZ,Meals,1to 18yrs old ,No,No,M-F,10:30-12,,33.7824037,-112.29768
school,Peoria USD,Kellis high,"8990 W Orangewood Ave, Glendale",Peoria,AZ,Meals,1to 18yrs old ,No,No,M-F,10:30-12,,33.7824037,-112.29768
school,Peoria USD,Sahuaro Ranch Elementary,"10401 N 63rd Ave, Glendale",Peoria,AZ,Meals,1to 18yrs old ,No,No,M-F,10:30-12,,33.7824037,-112.29768
school,Peoria USD,Sky View Elementary,8624 W Sweetwater Ave,Peoria,AZ,Meals,1to 18yrs old ,No,No,M-F,10:30-12,,33.6035846,-112.24451
school,Peoria USD,Sun Valley Elementary,"8361 N 95th Ave, Peoria",Peoria,AZ,Meals,1to 18yrs old ,No,No,M-F,10:30-12,,33.7824037,-112.29768
school,Peoria USD,Sundance Elementary,"7051 W Cholla St, Peoria",Peoria,AZ,Meals,1to 18yrs old ,No,No,M-F,10:30-12,,33.5876151,-112.21017
school,Phoenix,Harvest Compassion Center,"4002 N. 67th Ave., Phoenix",Phoenix,AZ,Groceries,All ,No,No,M-F,9:30-11:29,,33.4928448,-112.20412
school,Phoenix,Harvest Compassion Center,"4744 E. Thunderbird Road, Ste. 9, Phoenix",Phoenix,AZ,Groceries,1to 18yrs old ,No,No,M-F,9:30-11:30,,33.6124919,-111.97875
school,Phoenix,Friendly House,"113 W Sherman St., Phoenix",Phoenix,AZ,Produce/Canned,1to 18yrs old ,No,No,M-F,1-4,,33.4399271,-112.07589
school,Humboldt SD,Lake Valley Elementary,3900 N Starlight Drive,Prescott Valley,AZ,Meals,1to 18yrs old ,No,No,M-F,11:30-1,,34.5976993,-112.35192
school,Humboldt SD,Coyote Springs,6625 N Cattletrack Drive,Prescott Valley,AZ,Meals,1to 18yrs old ,No,No,M-F,11:30-1,,34.6378281,-112.32318
school,Humboldt SD,Humboldt Elementary,2750 S Corral St,Humboldt,AZ,Meals,1to 18yrs old ,No,No,M-F,11:30-1,,34.5174379,-112.24977
school,Humboldt SD,Mountain View Elem,8601 E Loos Drive,Prescott Valley,AZ,Meals,1to 18yrs old ,No,No,M-F,11:30-1,,34.6034323,-112.31364
school,Cartwright ,Peralta,"7125 W. Encanto Blvd., Phoenix",Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,9am-11am,,33.5721625,-112.08797
school,Cartwright ,Palm Lane ,"2043 N. 64th Drive, Phoenix",Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,9am-11am,,33.4706641,-112.19651
school,Cartwright ,Estrella,"3733 N. 75th Avenue, Phoenix",Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,9am-11am,,33.4905986,-112.21838
school,Cartwright ,Starlight,"7960 W. Osborn Rd., Phoenix",Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,9am-11am,,33.5721625,-112.08797
school,Cartwright ,Tomahawk,"7820 W. Turney Avenue, Phoenix",Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,9am-11am,,33.4998209,-112.22745
school,Cartwright ,Sunset ,"6602 W. Osborn Rd., Phoenix",Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,9am-11am,,33.4886402,-112.20135
school,Cartwright ,Desert Sands,"6308 W. Campbell Rd., Phoenix",Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,9am-11am,,33.5036851,-112.19644
school,Cartwright ,Heatherbrae,"7070 W. Heatherbrae Drive, Phoenix",Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,9am-11am,,33.5000083,-112.21084
school,Cartwright ,Long,"4407 N. 55th Avenue, Phoenix",Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,9am-11am,,33.5013006,-112.1761
school,Cartwright ,Borman,"3637 N. 55th Avenue, Phoenix",Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,9am-11am,,33.5721625,-112.08797
school,Cartwright ,Carthwright,"2825 N. 59th Avenue, Phoenix",Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,9am-11am,,33.4788904,-112.18508
school,Cartwright ,Harris,"2252 N. 55th Avenue, Phoenix",Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,9am-11am,,33.4718259,-112.17894
school,Cartwright ,Downs,"3600 N. 47th Avenue, Phoenix",Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,9am-11am,,33.5721625,-112.08797
community ,Cartwright ,Bus Stop,50th Lane and W. Cambridge Ave,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,9:00 AM,,33.5721625,-112.08797
community ,Cartwright ,Bus Stop,Virginia Ave and 47th Ave,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,9:00 AM,,33.5721625,-112.08797
community ,Cartwright ,Bus Stop,46th Ave and Cambridge Ave,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,9:20 AM,,33.5721625,-112.08797
community ,Cartwright ,Bus Stop,Marble Creek/Lynnwood,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,9:00 AM,,33.5721625,-112.08797
community ,Cartwright ,Bus Stop,The Villas,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,9:00 AM,,33.5721625,-112.08797
community ,Cartwright ,Bus Stop,Siegle Suites,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,9:30 AM,,33.5721625,-112.08797
community ,Cartwright ,Bus Stop,West End Gate at Clarendon & 71st Ave at Del Mar Apts,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,9:00 AM,,33.5721625,-112.08797
community ,Cartwright ,Bus Stop,Casa Anita,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,9:00 AM,,33.5721625,-112.08797
community ,Cartwright ,Bus Stop,72nd Ave. and Wolf,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,9:30 AM,,33.5721625,-112.08797
school,Isaac SD,Bus Stop,36TH AVE BTW POLK & TAYLOR,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,38TH AVE & FILLMORE,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,Capri Mobile Home Park,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,42ND AVE & LATHAM,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,43rd Ave. & Culver,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,Willetta BTW 38th Ave & 37th Dr.,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,LYNWOOD ST. BTW 37TH AVE & 36TH DR.,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,35TH AVE & ROANOKE,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,34TH DR. & CAMBRIDGE,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,30TH AVE BTW HOLLY ST & PALM LN,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,29TH AVE BTW GRANADA & CORONADO,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,PALM LN BTW 38TH DR & 38TH LN.,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,44TH AVE & VIRGINIA,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,45TH AVE & EDGEMONT,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,North 46th Avenue & West Sheridan Street,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,West Holly Street & North 47th Avenue,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,West Sheridan Street & North 49th Avenue,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,West Hubbell Street & North 45th Avenue,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,McDowell Rd & 47th Ave,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,North 48th Avenue & West Granada Road,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,48TH LN BTW GRANADA & BERKELEY,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,50TH LN BTW BERKELEY & GRANADA,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,50TH AVE & HOLLY ST,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,34TH AVE BTW PALM LN & HOLLY ST.,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,34TH AVE BTW MONTE VISTA& CYPRESS,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,32ND AVE BTW MONTE VISTA & HOLLY,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,32ND AVE BTW ALVARADO& CYPRESS,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
community ,Isaac SD,Bus Stop,POLK BTW 27TH DR. & 28TH,Phoenix,AZ,grab-and-go meals,1to18 yr old,No,No,M-F,check school website,,33.5721625,-112.08797
school,Isaac SD,Heart of Isaac Community Center,"1403 N 32nd Ave, Phoenix",Phoenix,AZ,grab-and-go meals,1to18 yr old ,No,No,M-F,Breakfast 8am-9am; Lunch 11:30am-1pm,,33.4642784,-112.12681
community ,Phoenix,La Piazza del Forno,"1 N. First Street, Phoenix",Phoenix,AZ,free meals for kids who depend on school meals,1to18 yr old ,No,No,See Hours of Operation,See Hours of Operation,,33.448588,-112.072
school,Creighton,Biltmore Prep,"4601 N. 34th Street, Phoenix",Phoenix,AZ,"grab-and-go meal for kids, Adult meals can be purchased for $1 for breakfast and $2 for lunch.",All ,No,No,M-F,8:30am-11:30am,,33.5053482,-112.00967
school,Creighton,Creighton School ,"2802 E. McDowell Road, Phoenix",Phoenix,AZ,"grab-and-go meal for kids, Adult meals can be purchased for $1 for breakfast and $2 for lunch.",All ,No,No,M-F,8:30am-11:30am,,33.4674644,-112.02048
school,Creighton,Excelencia ,"2181 East McDowell Road, Phoenix",Phoenix,AZ,"grab-and-go meal for kids, Adult meals can be purchased for $1 for breakfast and $2 for lunch.",All ,No,No,M-F,8:30am-11:30am,,33.4642589,-112.03524
school,Creighton,Gateway,"1100 N 35th St, Phoenix",Phoenix,AZ,"grab-and-go meal for kids, Adult meals can be purchased for $1 for breakfast and $2 for lunch.",All ,No,No,M-F,8:30am-11:30am,,33.4614695,-112.00705
school,Creighton,LC Kennedy ,"2702 E. Osborn, Phoenix",Phoenix,AZ,"grab-and-go meal for kids, Adult meals can be purchased for $1 for breakfast and $2 for lunch.",All ,No,No,M-F,8:30am-11:30am,,33.5721625,-112.08797
school,Creighton,Loma Linda Monte Vista ,"2002 E. Clarendon Avenue, Phoenix",Phoenix,AZ,"grab-and-go meal for kids, Adult meals can be purchased for $1 for breakfast and $2 for lunch.",All ,No,No,M-F,8:30am-11:30am,,33.4920667,-112.03726
school,Creighton,Papago ,"2013 North 36th Street, Phoenix",Phoenix,AZ,"grab-and-go meal for kids, Adult meals can be purchased for $1 for breakfast and $2 for lunch.",All ,No,No,M-F,8:30am-11:30am,,33.4702677,-112.00363
school,Creighton,WT Machan,"2140 E. Virginia Ave., Phoenix",Phoenix,AZ,"grab-and-go meal for kids, Adult meals can be purchased for $1 for breakfast and $2 for lunch.",All ,No,No,M-F,8:30am-11:30am,,33.4779777,-112.03536
